,intent,text,new
0,greet,Hi,Hi
1,greet,हाय,Alas
2,greet,हाई,Hi
3,greet,Hey,Hey
4,greet,Hi bot,Hi bot
5,greet,Hey bot,Hey bot
6,greet,Hello,Hello
7,greet,Good morning,Good morning
8,greet,hi again,hi again
9,greet,hi folks,hi folks
10,greet,hi Mister,hi Mister
11,greet,hi pal!,hi pal!
12,greet,hi there,hi there
13,greet,greetings,greetings
14,greet,hello,hello
15,greet,hello robot,hello robot
16,greet,hey robot,hey robot
17,greet,heyy,heyy
18,greet,namaste,namaste
19,greet,नमस्ते,Hello
20,greet,namskar,namskar
21,greet,namaskaar,namaskaar
22,greet,naamaste,naamaste
23,ask_name,what is your name,what is your name
24,ask_name,whats your name,whats your name
25,ask_name,whats ur name,whats ur name
26,ask_name,do you have a name?,do you have a name?
27,ask_name,do u have a name,do u have a name
28,tell_name,what is my name?,what is my name?
29,tell_name,what is my name,what is my name
30,tell_name,whhats my name,whhats my name
31,tell_name,tell me my name,tell me my name
32,tell_name,do you remember my name?,do you remember my name?
33,chitchat,None of your business,None of your business
34,chitchat,chup kar,chup kar
35,chitchat,चुप कर,keep quite
36,chitchat,चुपकर,keep quite
37,chitchat,abc,abc
38,chitchat,what do you mean,what do you mean
39,stop,stop,stop
40,stop,स्टॉप,Stop
41,outsource,outsource,outsource
42,outsource,आउटसोर्स,Outsource
43,outsource,out sourced,out sourced
44,outsource,outsrcd,outsrcd
45,outsource,out,out
46,outsource,आउट,Out
47,inhouse,in,in
48,inhouse,इन हाऊस,In house
49,inhouse,इनहाऊस,Inhaus
50,inhouse,इन,In
51,inhouse,inhouse,inhouse
52,inhouse,inhs,inhs
53,weather,how is the weather,how is the weather
54,weather,hows the weather,hows the weather
55,weather,howz the weather,howz the weather
56,weather,weather kaisa hai?,weather kaisa hai?
57,weather,is it raining?,is it raining?
58,weather,its too hot,its too hot
59,weather,is it too hot,is it too hot
60,weather,its too cold,its too cold
61,weather,is it too cold,is it too cold
62,abuse,fuck off,fuck off
63,abuse,fuckoff,fuckoff
64,abuse,chal chutiya,chal chutiya
65,abuse,maderchod,maderchod
66,abuse,bhenchod,bhenchod
67,abuse,chutiya,chutiya
68,abuse,maderchod,maderchod
69,abuse,loser,loser
70,abuse,idiot,idiot
71,abuse,gandu,gandu
72,abuse,चल चूतिये,Moving pussy
73,abuse,चूतिये,stupid
74,abuse,मादरचोद,motherfucker
75,abuse,बहनचोद,Sisterfucker
76,abuse,गांडू,गांडू
77,goodbye,goodbye,goodbye
78,goodbye,bye,bye
79,goodbye,bye bye,bye bye
80,goodbye,बाय,bye
81,goodbye,बाय बाय,bye Bye
82,goodbye,गुडबाय,Goodbye
83,thank,Thanks,Thanks
84,thank,Thank you,Thank you
85,thank,Thank you,Thank you
86,thank,Thanks bot,Thanks bot
87,thank,Thanks for that,Thanks for that
88,thank,cheers,cheers
89,thank,cheers bro,cheers bro
90,thank,ok thanks!,ok thanks!
91,thank,shukria,shukria
92,thank,dhanyawad,dhanyawad
93,thank,dhanyawaad,dhanyawaad
94,thank,sukriya,sukriya
95,thank,थैंक्यू,Thank you
96,thank,धन्यवाद,Thank you
97,thank,शुक्रिया,thank you
98,affirm,yes,yes
99,affirm,yepp,yepp
100,affirm,yepp,yepp
101,affirm,yuss,yuss
102,affirm,yes sure,yes sure
103,affirm,absolutely,absolutely
104,affirm,for sure,for sure
105,affirm,yes yes yes,yes yes yes
106,affirm,yes,yes
107,affirm,yepp,yepp
108,affirm,yeah,yeah
109,affirm,yepp,yepp
110,affirm,haa,haa
111,affirm,haan,haan
112,affirm,haanji,haanji
113,affirm,bilkul,bilkul
114,affirm,sahi baat,sahi baat
115,affirm,aji haa,aji haa
116,affirm,jii haan,jii haan
117,affirm,ji haa,ji haa
118,affirm,यस,The
119,affirm,हां,Yes
120,affirm,अजी हां,Yes yes
121,affirm,जी हां,Yes yes
122,affirm,हां,Yes
123,affirm,बिलकुल,Absolutely
124,affirm,सही बात,correct
125,affirm,हांजी,Yes
126,affirm,हाँ,Yes
127,affirm,हाँ,Yes
128,inform,7838930304,7838930304
129,inform,9414485068,9414485068
130,inform,my number is 9489785068,my number is 9489785068
131,inform,its 9834367345,its 9834367345
132,inform,my reference number is 9414904068,my reference number is 9414904068
133,inform,my number is 8967556347,my number is 8967556347
134,inform,7878450304,7878450304
135,inform,9419056068,9419056068
136,inform,my number is 9414485968,my number is 9414485968
137,inform,its 8765167345,its 8765167345
138,inform,my reference number is 9445673468,my reference number is 9445673468
139,inform,my number is 8967556347,my number is 8967556347
140,inform,7838930304,7838930304
141,inform,9414485068,9414485068
142,inform,my number is 941263958,my number is 941263958
143,inform,its 9841737345,its 9841737345
144,inform,my reference number is 9419985068,my reference number is 9419985068
145,inform,my number is 8967616347,my number is 8967616347
146,inform,my id is 9414077395,my id is 9414077395
147,inform,its 7838930304,its 7838930304
148,inform,i am from kota,i am from kota
149,inform,father mother sister her husband a nephew and my girlfriend,father mother sister her husband a nephew and my girlfriend
150,inform,yaa he advises me on things,yaa he advises me on things
151,inform,my office is in ghatkopar,my office is in ghatkopar
152,inform,yes we have around 30 employees.,yes we have around 30 employees.
153,inform,we have been here for the last 6 months.,we have been here for the last 6 months.
154,inform,we have a clothes shop. my wife is the fashion designer i market them,we have a clothes shop. my wife is the fashion designer i market them
155,inform,i stay in worli,i stay in worli
156,inform,i live in dadar,i live in dadar
157,inform,my house is in panvel,my house is in panvel
158,inform,i stay in rajasthan,i stay in rajasthan
159,inform,mumbai,mumbai
160,inform,ahemadabad,ahemadabad
161,inform,gujrat,gujrat
162,inform,i stay in worli,i stay in worli
163,inform,i live in dadar,i live in dadar
164,inform,my house is in panvel,my house is in panvel
165,inform,i stay in rajasthan,i stay in rajasthan
166,inform,mumbai,mumbai
167,inform,ahemadabad,ahemadabad
168,inform,gujrat- i stay in worli,gujrat- i stay in worli
169,inform,i live in dadar,i live in dadar
170,inform,my house is in panvel,my house is in panvel
171,inform,i stay in rajasthan,i stay in rajasthan
172,inform,mumbai,mumbai
173,inform,ahemadabad,ahemadabad
174,inform,gujrat,gujrat
175,inform,i stay in Palava,i stay in Palava
176,inform,3,3
177,inform,4,4
178,inform,102,102
179,inform,33,33
180,inform,24,24
181,inform,500,500
182,inform,worli,worli
183,inform,dadar,dadar
184,inform,say,say
185,inform,what,what
186,inform,can you?,can you?
187,inform,there are 4 members in my family. My parents my sister and myself.,there are 4 members in my family. My parents my sister and myself.
188,inform,my parents and one sister,my parents and one sister
189,inform,parents and two brothers,parents and two brothers
190,inform,5 members in the family,5 members in the family
191,inform,wife and three children,wife and three children
192,inform,three members,three members
193,inform,ihave 6 members in my family,ihave 6 members in my family
194,inform,there are 5 members in my family.,there are 5 members in my family.
195,inform,my brothers are also involved in the business,my brothers are also involved in the business
196,inform,one of my brother manages some work,one of my brother manages some work
197,inform,yes he handles the finances and i handle the daily mamagement.,yes he handles the finances and i handle the daily mamagement.
198,inform,yaa he manages the daily affairs sits on shop.,yaa he manages the daily affairs sits on shop.
199,inform,by father helps me alot somethimes my cousins also chip in,by father helps me alot somethimes my cousins also chip in
200,inform,its located in prabhadevi,its located in prabhadevi
201,inform,i have 10 employees,i have 10 employees
202,inform,9975701240,9975701240
203,inform,in colaba,in colaba
204,inform,three,three
205,inform,we make fools out of people,we make fools out of people
206,inform,its in malabar,its in malabar
207,inform,we have 125 cr employees but we work with some lacks,we have 125 cr employees but we work with some lacks
208,inform,since last 3 months,since last 3 months
209,inform,last 300 years,last 300 years
210,inform,its 7838930304,its 7838930304
211,inform,i stay in gharkopar,i stay in gharkopar
212,inform,i have one sister and my parents. sister is married stays in holland,i have one sister and my parents. sister is married stays in holland
213,inform,yes we make carpets and export it to the US,yes we make carpets and export it to the US
214,inform,its in marol,its in marol
215,inform,yes i havbe 45 emplyees. all of them are on wages.,yes i havbe 45 emplyees. all of them are on wages.
216,inform,its been 10 years now.,its been 10 years now.
217,inform,we have been in this one for the last 25 months.,we have been in this one for the last 25 months.
218,inform,1 cr,1 cr
219,inform,crossed 1 cr already.,crossed 1 cr already.
220,inform,7838930304,7838930304
221,inform,9414485068,9414485068
222,inform,my number is 9489785068,my number is 9489785068
223,inform,its 9834367345,its 9834367345
224,inform,my reference number is 9414904068,my reference number is 9414904068
225,inform,my number is 8967556347,my number is 8967556347
226,inform,7878450304,7878450304
227,inform,9419056068,9419056068
228,inform,my number is 9414485968,my number is 9414485968
229,inform,its 8765167345,its 8765167345
230,inform,my reference number is 9445673468,my reference number is 9445673468
231,inform,my number is 8967556347,my number is 8967556347
232,inform,7838930304,7838930304
233,inform,9414485068,9414485068
234,inform,my number is 941263958,my number is 941263958
235,inform,its 9841737345,its 9841737345
236,inform,my reference number is 9419985068,my reference number is 9419985068
237,inform,my number is 8967616347,my number is 8967616347
238,inform,my id is 9414077395,my id is 9414077395
239,inform,its 7838930304,its 7838930304
240,inform,i am from kota,i am from kota
241,inform,father mother sister her husband a nephew and my girlfriend,father mother sister her husband a nephew and my girlfriend
242,inform,yaa he advises me on things,yaa he advises me on things
243,inform,my office is in ghatkopar,my office is in ghatkopar
244,inform,yes we have around 30 employees.,yes we have around 30 employees.
245,inform,we have been here for the last 6.,we have been here for the last 6.
246,inform,we have a clothes shop. my wife is the fashion designer i market them,we have a clothes shop. my wife is the fashion designer i market them
247,inform,i stay in worli,i stay in worli
248,inform,i live in dadar,i live in dadar
249,inform,my house is in panvel,my house is in panvel
250,inform,i stay in rajasthan,i stay in rajasthan
251,inform,mumbai,mumbai
252,inform,ahemadabad,ahemadabad
253,inform,gujrat,gujrat
254,inform,i stay in worli,i stay in worli
255,inform,i live in dadar,i live in dadar
256,inform,my house is in panvel,my house is in panvel
257,inform,i stay in rajasthan,i stay in rajasthan
258,inform,mumbai,mumbai
259,inform,ahemadabad,ahemadabad
260,inform,gujrat- i stay in worli,gujrat- i stay in worli
261,inform,i live in dadar,i live in dadar
262,inform,my house is in panvel,my house is in panvel
263,inform,i stay in rajasthan,i stay in rajasthan
264,inform,mumbai,mumbai
265,inform,ahemadabad,ahemadabad
266,inform,gujrat,gujrat
267,inform,i stay in Palava,i stay in Palava
268,inform,3,3
269,inform,4,4
270,inform,102,102
271,inform,33,33
272,inform,24,24
273,inform,500,500
274,inform,worli,worli
275,inform,dadar,dadar
276,inform,say,say
277,inform,what,what
278,inform,can you?,can you?
279,inform,there are 4 members in my family. My parents my sister and myself.,there are 4 members in my family. My parents my sister and myself.
280,inform,my parents and one sister,my parents and one sister
281,inform,parents and two brothers,parents and two brothers
282,inform,5 members in the family,5 members in the family
283,inform,wife and three children,wife and three children
284,inform,three members,three members
285,inform,ihave 6 members in my family,ihave 6 members in my family
286,inform,there are 5 members in my family.,there are 5 members in my family.
287,inform,my brothers are also involved in the business,my brothers are also involved in the business
288,inform,one of my brother manages some work,one of my brother manages some work
289,inform,yes he handles the finances and i handle the daily mamagement.,yes he handles the finances and i handle the daily mamagement.
290,inform,yaa he manages the daily affairs sits on shop.,yaa he manages the daily affairs sits on shop.
291,inform,by father helps me alot somethimes my cousins also chip in,by father helps me alot somethimes my cousins also chip in
292,inform,its located in prabhadevi,its located in prabhadevi
293,inform,i have 10 employees,i have 10 employees
294,inform,9975701240,9975701240
295,inform,in colaba,in colaba
296,inform,three,three
297,inform,we make fools out of people,we make fools out of people
298,inform,its in malabar,its in malabar
299,inform,we have 125 cr employees but we work with some lacks,we have 125 cr employees but we work with some lacks
300,inform,since last 3,since last 3
301,inform,last 300,last 300
302,inform,its 7838930304,its 7838930304
303,inform,i stay in gharkopar,i stay in gharkopar
304,inform,i have one sister and my parents. sister is married stays in holland,i have one sister and my parents. sister is married stays in holland
305,inform,yes we make carpets and export it to the US,yes we make carpets and export it to the US
306,inform,its in marol,its in marol
307,inform,yes i havbe 45 emplyees. all of them are on wages.,yes i havbe 45 emplyees. all of them are on wages.
308,inform,its been 10 now.,its been 10 now.
309,inform,we have been in this one for the last 25.,we have been in this one for the last 25.
310,inform,1,1
311,inform,crossed 1 already.,crossed 1 already.
312,inform,its 7838930304,its 7838930304
313,inform,this this is the dirsctor and this this is the shareholding pattern,this this is the dirsctor and this this is the shareholding pattern
314,inform,its been 13,its been 13
315,inform,its in haryana,its in haryana
316,inform,we have 3 machines,we have 3 machines
317,inform,2000 tonnes and 70 pc,2000 tonnes and 70 pc
318,inform,67 workers in total,67 workers in total
319,inform,"3 parties abc, dfg and xcw.","3 parties abc, dfg and xcw."
320,inform,we give in 30 days,we give in 30 days
321,inform,have to pay 30 cr in market,have to pay 30 cr in market
322,inform,some what two months,some what two months
323,inform,in bhiwandi close to the main factory. its owned.,in bhiwandi close to the main factory. its owned.
324,inform,yes there are numerous custiomers.,yes there are numerous custiomers.
325,inform,around 60 days,around 60 days
326,inform,have to receive some 40 cr,have to receive some 40 cr
327,inform,some 3 cr,some 3 cr
328,inform,around 50 cr,around 50 cr
329,inform,mostly in bank after gst.,mostly in bank after gst.
330,inform,13 pc,13 pc
331,inform,67 emplyees,67 emplyees
332,inform,we r in the 4 pc bracket,we r in the 4 pc bracket
333,inform,for 3 cr,for 3 cr
334,inform,planning to start a new unit at manesar.,planning to start a new unit at manesar.
335,inform,"i have x y and z parties and they have w,e,r sharehiolding","i have x y and z parties and they have w,e,r sharehiolding"
336,inform,13 years till now,13 years till now
337,inform,retail,retail
338,inform,stockist,stockist
339,inform,there are these three parties i purchase from,there are these three parties i purchase from
340,inform,three months,three months
341,inform,3.4 cr,3.4 cr
342,inform,its near the locations,its near the locations
343,inform,i am a retialer.,i am a retialer.
344,inform,its 90 days.,its 90 days.
345,inform,2.3 cr,2.3 cr
346,inform,30 cr pm,30 cr pm
347,inform,3,3
348,inform,90 pc,90 pc
349,inform,28 pc,28 pc
350,inform,78 employess,78 employess
351,inform,14 pc,14 pc
352,inform,30 lacks,30 lacks
353,inform,to increase productiopn.,to increase productiopn.
354,inform,it is 7838930304,it is 7838930304
355,inform,private,private
356,inform,mahesh majrekra and sanjay gupta. all three of us have 33 pc each.,mahesh majrekra and sanjay gupta. all three of us have 33 pc each.
357,inform,its been 13 years,its been 13 years
358,inform,groceries,groceries
359,inform,retail,retail
360,inform,stockist,stockist
361,inform,"i purchase from three parties, this this ans this","i purchase from three parties, this this ans this"
362,inform,we receive the payments in 45 days,we receive the payments in 45 days
363,inform,some 30,some 30
364,inform,we have stocks for 30 days,we have stocks for 30 days
365,inform,its is near factory,its is near factory
366,inform,"we sell to 4 parties, this this and ths","we sell to 4 parties, this this and ths"
367,inform,90 days,90 days
368,inform,we have to receive some 3 lacks from the debtors,we have to receive some 3 lacks from the debtors
369,inform,we do some 13 lacks,we do some 13 lacks
370,inform,its around 2.5 cr,its around 2.5 cr
371,inform,its about 78%,its about 78%
372,inform,23 pc,23 pc
373,inform,we have 45 emplyees,we have 45 emplyees
374,inform,they are 18 pc,they are 18 pc
375,inform,8 cr,8 cr
376,inform,we have to put one new unit.,we have to put one new unit.
377,inform,it is 7838930304,it is 7838930304
378,inform,mahesh majrekra and sanjay gupta. all three of us have 33 pc each.,mahesh majrekra and sanjay gupta. all three of us have 33 pc each.
379,inform,its been 13 years,its been 13 years
380,inform,groceries,groceries
381,inform,retail,retail
382,inform,stockist,stockist
383,inform,"i purchase from three parties, this this ans this","i purchase from three parties, this this ans this"
384,inform,we receive the payments in 45 days,we receive the payments in 45 days
385,inform,some 30,some 30
386,inform,we have stocks for 30 days,we have stocks for 30 days
387,inform,its is near factory,its is near factory
388,inform,"we sell to 4 parties, this this and ths","we sell to 4 parties, this this and ths"
389,inform,90 days,90 days
390,inform,we have to receive some 3 lac from the debtors,we have to receive some 3 lac from the debtors
391,inform,we do some 13 lacks,we do some 13 lacks
392,inform,its around 2.5 cr,its around 2.5 cr
393,inform,its about 78 %,its about 78 %
394,inform,23 pc,23 pc
395,inform,we have 45 emplyees,we have 45 emplyees
396,inform,they are 18 pc,they are 18 pc
397,inform,8,8
398,inform,we have to put one new unit.,we have to put one new unit.
399,inform,its 7838930304,its 7838930304
400,inform,its have been 12,its have been 12
401,inform,i ahve been in this business since forever. worked with my father before.,i ahve been in this business since forever. worked with my father before.
402,inform,textiles,textiles
403,inform,"its in jabalpur, near bedaghat.","its in jabalpur, near bedaghat."
404,inform,"we have some staff there, i also vist sometimes a month.","we have some staff there, i also vist sometimes a month."
405,inform,we have some 23 machines,we have some 23 machines
406,inform,67 workers are there.,67 workers are there.
407,inform,50k,50k
408,inform,100k,100k
409,inform,20k,20k
410,inform,50 k,50 k
411,inform,20 k,20 k
412,inform,lacw,lacw
413,inform,20 lacws,20 lacws
414,inform,wip,wip
415,inform,it is wip,it is wip
416,inform,month,month
417,inform,month or two,month or two
418,inform,three months,three months
419,inform,year and beyond,year and beyond
420,inform,we have a capacity of 23 yarns per day and we utilize all of it.,we have a capacity of 23 yarns per day and we utilize all of it.
421,inform,we purchase raw materials from welspun.,we purchase raw materials from welspun.
422,inform,we pay in 90,we pay in 90
423,inform,we have to pay some 34 to welspun,we have to pay some 34 to welspun
424,inform,we have stock for 120 days at any point in time.,we have stock for 120 days at any point in time.
425,inform,we sell to lots of retailers across india.,we sell to lots of retailers across india.
426,inform,we offer a credit period of 45. days,we offer a credit period of 45. days
427,inform,very samll amount is outstanding. we receive payments on time.,very samll amount is outstanding. we receive payments on time.
428,inform,we sell about 25 worth of goods every month.,we sell about 25 worth of goods every month.
429,inform,we have done some 4 and are expecting to finish year on 6+cr,we have done some 4 and are expecting to finish year on 6+cr
430,inform,not more than 20 pc,not more than 20 pc
431,inform,we work on around 18 pc returns,we work on around 18 pc returns
432,inform,total 67 employees,total 67 employees
433,inform,18 pc,18 pc
434,inform,35 lacks,35 lacks
435,inform,i want to start another manufacture unit.,i want to start another manufacture unit.
436,inform,clothes,clothes
437,inform,cloth,cloth
438,inform,textile,textile
439,inform,1,1
440,inform,2,2
441,inform,3,3
442,inform,4,4
443,inform,5,5
444,inform,6,6
445,inform,7,7
446,inform,8,8
447,inform,9,9
448,inform,10,10
449,inform,something,something
450,inform,this and this,this and this
451,inform,was studying,was studying
452,inform,1pc,1pc
453,inform,12cr,12cr
454,inform,12pc,12pc
455,inform,19pc,19pc
456,inform,fun,fun
457,inform,somehow,somehow
458,inform,new nothing,new nothing
459,inform,here and there,here and there
460,inform,thane,thane
461,inform,chichpokli,chichpokli
462,inform,varanasi,varanasi
463,inform,jabalputr,jabalputr
464,inform,lokhandwala,lokhandwala
465,inform,vadala,vadala
466,inform,andheri,andheri
467,inform,ahemedabad,ahemedabad
468,inform,fmcg,fmcg
